nombre,poblacion,superficie,continente
Mozambique,34630000,799000,Africa
Tonga,100000,1000,Oceania
Colombia,52890000,1142000,America
Croatia,3880000,57000,Europe
Cote d'Ivoire,31930000,322000,Africa
Malawi,21660000,118000,Africa
Costa Rica,5130000,51000,America
Trinidad and Tobago,1510000,5000,America
TÃ¼rkiye,87470000,784000,Asia
Turkmenistan,7490000,488000,Asia
Myanmar,54500000,677000,Asia
Bangladesh,173560000,148000,Asia
Comoros,870000,2000,Africa
Tunisia,12280000,164000,Africa
Cook Islands,10000,0,Oceania
Malaysia,35560000,331000,Asia
Congo Republic,6330000,342000,Africa
Algeria,46810000,2382000,Africa
Namibia,3030000,825000,Africa
Dominican Republic,11430000,49000,America
Azerbaijan,10340000,87000,Asia
Suriname,630000,164000,America
Dominica,70000,1000,America
Sweden,10610000,439000,Europe
Djibouti,1170000,23000,Africa
Lithuania,2860000,65000,Europe
Denmark,5980000,43000,Europe
Switzerland,8920000,41000,Europe
Nepal,29650000,147000,Asia
DR Congo,109280000,2345000,Africa
Syria,24670000,185000,Asia
Tokelau,0,0,Oceania
Bahamas,400000,14000,America
Tajikistan,10590000,141000,Asia
Czechia,10740000,79000,Europe
Thailand,71670000,513000,Asia
Nauru,10000,0,Oceania
Cyprus,1360000,9000,Asia
Luxembourg,670000,3000,Europe
Timor-Leste,1400000,15000,Asia
Turks and Caicos Islands,50000,1000,America
Madagascar,31970000,587000,Africa
Togo,9520000,57000,Africa
Bahrain,1610000,1000,Asia
Cuba,10980000,110000,America
North Korea,26500000,121000,Asia
Curacao,190000,0,America
Uganda,50020000,242000,Africa
Macau,720000,0,Asia
Western Sahara,590000,266000,Africa
British Virgin Islands,40000,0,America
Wallis and Futuna Islands,10000,0,Oceania
Monaco,40000,0,Europe
Benin,14460000,115000,Africa
Brunei Darussalam,460000,6000,Asia
Mauritania,5170000,1031000,Africa
Bulgaria,6760000,110000,Europe
Venezuela,28410000,930000,America
Burkina Faso,23550000,274000,Africa
Belize,420000,23000,America
Mongolia,3480000,1564000,Asia
Vietnam,100990000,331000,Asia
Vanuatu,330000,12000,Oceania
Brazil,212000000,8516000,America
Yemen,40580000,528000,Asia
Bhutan,790000,38000,Asia
Bolivia,12410000,1099000,America
Bermuda,60000,0,America
Mauritius,1270000,2000,Africa
Zimbabwe,16629999,391000,Africa
"Micronesia, Fed. Sts.",110000,1000,Oceania
Zambia,21320000,753000,Africa
Bosnia and Herzegovina,3160000,51000,Europe
Botswana,2520000,582000,Africa
Burundi,14050000,28000,Africa
Martinique,340000,1000,America
Chad,20300000,1284000,Africa
Belarus,9060000,208000,Europe
United Arab Emirates,11030000,71000,Asia
Mali,24480000,1240000,Africa
Chile,19760000,756000,America
Ukraine,37860000,604000,Europe
United Kingdom,69140000,242000,Europe
Morocco,38080000,447000,Africa
Hong Kong,7410000,1000,Asia
Maldives,530000,0,Asia
Tuvalu,10000,0,Oceania
China,1419320000,9600000,Asia
Central African Republic,5330000,623000,Africa
Montserrat,0,0,America
Cayman Islands,70000,0,America
Uzbekistan,36360000,449000,Asia
Cabo Verde,520000,4000,Africa
Uruguay,3390000,174000,America
Cambodia,17640000,181000,Asia
Montenegro,640000,14000,Europe
Cameroon,29120000,476000,Africa
United States Virgin Islands,80000,0,America
Belgium,11740000,31000,Europe
Marshall Islands,40000,0,Oceania
Canada,39740000,9985000,America
United States,345430000,9834000,America
Malta,540000,0,Europe
Tanzania,68560000,947000,Africa
Barbados,280000,0,America
Netherlands,18230000,42000,Europe
Palestine,5500000,6000,Asia
Honduras,10830000,112000,America
Moldova,3040000,34000,Europe
Kenya,56430000,592000,Africa
Haiti,11770000,28000,America
Reunion,880000,3000,Africa
Angola,37890000,1247000,Africa
Romania,19020000,238000,Europe
Guyana,830000,215000,America
Norway,5580000,324000,Europe
Guinea-Bissau,2200000,36000,Africa
Russia,144820000,17098000,Europe
Guinea,14750000,246000,Africa
Kiribati,130000,1000,Oceania
Rwanda,14260000,26000,Africa
Grenada,120000,0,America
St. Lucia,180000,1000,America
Afghanistan,42650000,653000,Asia
Kuwait,4930000,18000,Asia
Guadeloupe,380000,2000,America
Oman,5280000,310000,Asia
St. Kitts and Nevis,50000,0,America
Northern Mariana Islands,40000,0,Oceania
St. Helena,10000,0,Africa
Guatemala,18410000,109000,America
Anguilla,10000,0,America
Guam,170000,1000,Oceania
Hungary,9680000,93000,Europe
South Korea,51720000,100000,Asia
Ireland,5260000,70000,Europe
Peru,34220000,1285000,America
Isle of Man,80000,1000,Europe
Paraguay,6930000,407000,America
Philippines,115840000,300000,Asia
Israel,9390000,22000,Asia
Italy,59340000,302000,Europe
Papua New Guinea,10580000,463000,Oceania
Japan,123750000,378000,Asia
Jamaica,2840000,11000,America
Panama,4520000,75000,America
Palau,20000,0,Oceania
Pakistan,251270000,796000,Asia
Iraq,46040000,435000,Asia
Iceland,390000,103000,Europe
Andorra,80000,0,Europe
Qatar,3050000,12000,Asia
Albania,2790000,29000,Europe
India,1450940000,3287000,Asia
American Samoa,50000,0,Oceania
Puerto Rico,3240000,9000,America
Kazakhstan,20590000,2725000,Asia
Indonesia,283490000,1911000,Asia
Portugal,10430000,92000,Europe
Iran,91570000,1631000,Asia
Jordan,11550000,89000,Asia
Poland,38540000,313000,Europe
North Macedonia,1820000,26000,Europe
Antigua and Barbuda,90000,0,America
Greenland,60000,2166000,America
Solomon Islands,820000,29000,Oceania
Australia,26710000,7692000,Oceania
Ethiopia,132060000,1104000,Africa
Slovenia,2120000,20000,Europe
Lesotho,2340000,30000,Africa
Falkland Islands,0,12000,America
Nicaragua,6920000,130000,America
Faroe Islands,60000,1000,Europe
Sint Maarten,40000,0,America
Fiji,930000,18000,Oceania
Aruba,110000,0,America
Slovakia,5510000,49000,Europe
Singapore,5830000,1000,Asia
Eswatini,1240000,17000,Africa
Somalia,19010000,638000,Africa
Ecuador,18140000,257000,America
Egypt,116540000,1002000,Africa
Sri Lanka,23100000,66000,Asia
Libya,7380000,1676000,Africa
El Salvador,6340000,21000,America
Spain,47910000,506000,Europe
New Zealand,5210000,268000,Oceania
Austria,9120000,84000,Europe
Equatorial Guinea,1890000,28000,Africa
Liberia,5610000,111000,Africa
South Africa,64010000,1221000,Africa
Eritrea,3540000,121000,Africa
Estonia,1360000,45000,Europe
New Caledonia,290000,19000,Oceania
Liechtenstein,40000,0,Europe
Lebanon,5810000,10000,Asia
Sao Tome and Principe,240000,1000,Africa
Germany,84550000,358000,Europe
Argentina,45700000,2796000,America
San Marino,30000,0,Europe
Ghana,34430000,239000,Africa
Georgia,3810000,70000,Asia
Samoa,220000,3000,Oceania
Gibraltar,40000,0,Europe
St. Vincent and the Grenadines,100000,0,America
Kyrgyz Republic,7190000,200000,Asia
Greece,10050000,132000,Europe
St. Pierre and Miquelon,10000,0,America
Niue,0,0,Oceania
Finland,5620000,337000,Europe
Laos,7770000,237000,Asia
Saudi Arabia,33960000,2207000,Asia
Sierra Leone,8640000,72000,Africa
Niger,27030000,1267000,Africa
France,66550000,552000,Europe
Seychelles,130000,0,Africa
French Guiana,310000,84000,America
Latvia,1870000,65000,Europe
Gambia,2760000,11000,Africa
French Polynesia,280000,4000,Oceania
Armenia,2970000,30000,Asia
Senegal,18500000,197000,Africa
Gabon,2540000,268000,Africa
Nigeria,232680000,924000,Africa
Mexico,130860000,1964000,America
Serbia,6740000,88000,Europe
